               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10002,            0.063606,            0.056601,             0.79786,             0.12378,            0.097197,            0.043753,            0.071342,             0.04884,            0.050974,            0.070246,            0.003306,            0.003306
                   1,            0.069789,              0.0546,            0.041847,             0.83899,             0.21409,             0.22396,             0.11517,            0.054237,            0.032865,            0.040959,            0.040027,           0.0064202,           0.0064202
                   2,            0.064114,            0.049069,            0.034375,             0.29211,             0.42293,             0.27393,             0.12261,            0.055661,            0.028639,            0.031083,           0.0095877,           0.0093145,           0.0093145
                   3,            0.055978,            0.043842,            0.026457,             0.41013,             0.53898,             0.42219,             0.20745,             0.04694,            0.026424,            0.024293,             0.00901,             0.00901,             0.00901
                   4,            0.048562,            0.040562,            0.021113,             0.45595,             0.63771,             0.51097,             0.26836,            0.043302,            0.024405,            0.020541,             0.00901,             0.00901,             0.00901
                   5,            0.044555,            0.039419,            0.018742,             0.63071,             0.67137,             0.64928,             0.34304,            0.037826,            0.023487,            0.018534,             0.00868,             0.00868,             0.00868
                   6,            0.041581,            0.037378,            0.016445,             0.79154,             0.70424,              0.7243,             0.37872,            0.037175,            0.022716,            0.015485,             0.00835,             0.00835,             0.00835
                   7,              0.0397,            0.036559,            0.014051,             0.87819,             0.74856,             0.77948,             0.42121,            0.033535,            0.022017,            0.012564,             0.00802,             0.00802,             0.00802
                   8,            0.038398,            0.035178,            0.012052,             0.87804,             0.79179,             0.80978,             0.43187,            0.033153,            0.021907,            0.010623,             0.00769,             0.00769,             0.00769
                   9,            0.037216,            0.035287,            0.010543,             0.89082,              0.8094,             0.81612,             0.46381,            0.032456,            0.021583,           0.0099412,             0.00736,             0.00736,             0.00736
                  10,            0.035821,            0.034739,           0.0095034,             0.91187,             0.82172,             0.84322,             0.46485,            0.031806,            0.021219,           0.0089225,             0.00703,             0.00703,             0.00703
                  11,            0.034621,            0.033868,           0.0086021,             0.92251,             0.84794,             0.87422,              0.5111,            0.031122,            0.021444,           0.0077081,              0.0067,              0.0067,              0.0067
                  12,            0.033861,            0.033823,           0.0078535,             0.93608,             0.85369,             0.90743,             0.51122,            0.030576,             0.02097,            0.006692,             0.00637,             0.00637,             0.00637
                  13,            0.032873,            0.033049,           0.0072072,             0.85358,             0.90294,             0.92416,              0.5708,            0.028617,            0.020638,            0.006217,             0.00604,             0.00604,             0.00604
                  14,            0.031923,            0.033609,           0.0066474,             0.89233,             0.89657,             0.92748,             0.55915,            0.029179,            0.020664,           0.0063196,             0.00571,             0.00571,             0.00571
                  15,            0.031289,            0.032213,           0.0060212,             0.91409,             0.91562,             0.94347,             0.57521,            0.028385,            0.020324,           0.0054807,             0.00538,             0.00538,             0.00538
                  16,            0.030424,            0.031808,           0.0055022,             0.91354,             0.92078,             0.94258,             0.60226,            0.028509,            0.020731,           0.0052967,             0.00505,             0.00505,             0.00505
                  17,            0.030321,            0.031398,           0.0053072,             0.94943,             0.91869,             0.94969,             0.61048,            0.027397,            0.020199,           0.0047549,             0.00472,             0.00472,             0.00472
                  18,             0.02934,            0.030806,           0.0049486,             0.93069,             0.92891,             0.95385,              0.6092,            0.027039,            0.019923,           0.0044845,             0.00439,             0.00439,             0.00439
                  19,            0.028844,            0.031231,            0.004611,             0.94327,             0.94106,              0.9592,             0.62354,            0.026423,            0.019883,           0.0044056,             0.00406,             0.00406,             0.00406
                  20,             0.02812,            0.031136,           0.0041487,             0.95139,             0.93711,             0.96078,             0.62722,            0.025715,            0.019907,           0.0035893,             0.00373,             0.00373,             0.00373
                  21,            0.027859,            0.030642,           0.0039983,             0.94184,              0.9466,             0.96223,             0.63907,            0.025861,            0.019912,            0.003477,              0.0034,              0.0034,              0.0034
                  22,            0.027236,            0.030518,           0.0038075,             0.94666,             0.95526,             0.96237,              0.6363,            0.025935,            0.019716,           0.0035944,             0.00307,             0.00307,             0.00307
                  23,            0.026576,            0.030446,           0.0035059,             0.95351,             0.94748,             0.96588,             0.64646,            0.025114,            0.019616,           0.0031663,             0.00274,             0.00274,             0.00274
                  24,            0.026081,            0.029853,           0.0033117,             0.95124,             0.94737,             0.96516,              0.6479,            0.025502,            0.019686,           0.0029333,             0.00241,             0.00241,             0.00241
                  25,            0.025699,            0.029546,           0.0030302,             0.93031,             0.95466,             0.96296,             0.64741,            0.025295,            0.019557,           0.0030828,             0.00208,             0.00208,             0.00208
                  26,            0.025267,            0.030076,           0.0029425,             0.94709,             0.95412,             0.96753,              0.6515,            0.024984,            0.019531,           0.0027884,             0.00175,             0.00175,             0.00175
                  27,            0.024686,             0.02911,           0.0028863,             0.95523,             0.94539,             0.96868,             0.64911,             0.02469,            0.019469,           0.0027045,             0.00142,             0.00142,             0.00142
                  28,            0.024724,             0.02978,           0.0029058,              0.9549,             0.94429,             0.96583,             0.65548,            0.024509,            0.019471,           0.0028115,             0.00109,             0.00109,             0.00109
                  29,            0.024135,            0.029121,           0.0027223,             0.95273,             0.94986,             0.96431,              0.6542,            0.024486,             0.01934,            0.002809,             0.00076,             0.00076,             0.00076
